Team1 Name,Team1 Runs Scored,Team1 Wickets Fell,Team2 Name,Team2 Runs Scored,Team2 Wickets Fell,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Toss Winner,Match Winner,Toss Winner Choice_bat,Toss Winner Choice_bowl,Toss Winner Choice_match called off
89,0.46474358974358976,0.5,6,0.30980392156862746,1.0,128,82,55,6,84,False,True,False
65,0.483974358974359,0.8,86,0.603921568627451,0.4,93,57,55,86,82,False,True,False
40,0.6923076923076923,0.4,26,0.7686274509803921,0.6000000000000001,93,57,55,41,40,True,False,False
89,0.31730769230769235,1.0,2,0.3843137254901961,0.0,129,30,55,2,2,False,True,False
6,0.4423076923076923,1.0,70,0.5372549019607844,0.6000000000000001,129,30,55,70,67,False,True,False
40,0.483974358974359,0.5,86,0.4392156862745098,0.9,93,57,55,41,40,True,False,False
65,0.4519230769230769,0.8,70,0.5607843137254902,0.4,129,30,55,65,67,True,False,False
40,0.5961538461538461,0.5,2,0.6627450980392158,0.7000000000000001,93,57,55,41,40,True,False,False
40,0.4967948717948718,0.5,70,0.580392156862745,1.0,128,82,55,41,40,True,False,False
2,0.5256410256410257,0.5,41,0.6392156862745098,0.30000000000000004,23,116,26,2,40,True,False,False
65,0.40705128205128205,0.7000000000000001,86,0.49803921568627446,0.7000000000000001,128,82,55,86,82,False,True,False
2,0.5897435897435898,0.6000000000000001,65,0.5019607843137255,1.0,212,126,1,2,2,True,False,False
86,0.1794871794871795,0.8,100,0.2196078431372549,0.5,181,67,55,101,96,False,True,False
101,0.4134615384615385,0.7000000000000001,86,0.5098039215686274,0.6000000000000001,128,82,55,86,82,False,True,False
26,0.5833333333333334,0.8,65,0.580392156862745,1.0,44,10,41,65,26,False,True,False
70,0.6442307692307693,0.5,6,0.3803921568627451,1.0,127,86,44,70,67,True,False,False
65,0.38782051282051283,0.9,26,0.4823529411764706,0.1,132,109,15,26,26,False,True,False
2,0.3044871794871795,0.30000000000000004,100,0.3843137254901961,0.30000000000000004,87,23,64,101,96,False,True,False
64,0.483974358974359,0.5,49,0.5098039215686274,0.9,32,15,28,49,61,False,True,False
80,0.3685897435897436,1.0,43,0.4470588235294118,0.6000000000000001,32,15,28,80,42,True,False,False
65,0.6057692307692307,0.9,100,0.5921568627450979,0.7000000000000001,160,73,41,65,62,True,False,False
64,0.3044871794871795,1.0,16,0.37254901960784315,0.6000000000000001,32,15,28,64,16,True,False,False
9,0.3108974358974359,0.7000000000000001,80,0.3764705882352941,0.2,32,15,28,80,77,False,True,False
16,0.28525641025641024,1.0,49,0.34509803921568627,0.6000000000000001,32,15,28,16,48,True,False,False
43,0.1314102564102564,0.7000000000000001,9,0.14509803921568626,0.8,32,15,28,43,42,True,False,False
49,0.20833333333333331,1.0,43,0.26666666666666666,0.6000000000000001,32,15,28,43,42,False,True,False
9,0.21794871794871792,1.0,16,0.2627450980392157,0.2,32,15,28,16,16,False,True,False
64,0.4670883809751149,0.6847168347556245,43,0.4805812132015341,0.6035812672176308,32,15,28,43,99,False,True,False
16,0.42628205128205127,0.7000000000000001,102,0.5137254901960784,0.9,113,92,8,103,99,False,True,False
89,0.4326923076923077,0.9,70,0.5372549019607844,0.7000000000000001,113,92,8,70,67,False,True,False
89,0.483974358974359,0.7000000000000001,16,0.5254901960784313,1.0,113,92,8,89,84,True,False,False
65,0.49038461538461536,0.7000000000000001,100,0.5921568627450979,0.8,44,10,41,65,99,True,False,False
2,0.5769230769230769,0.9,86,0.4941176470588235,1.0,118,111,1,2,2,True,False,False
86,0.4967948717948718,0.5,2,0.615686274509804,0.4,26,24,1,86,2,True,False,False
89,0.5416666666666666,0.4,41,0.6666666666666667,0.7000000000000001,143,41,57,89,40,True,False,False
2,0.47435897435897434,0.7000000000000001,65,0.5686274509803921,0.5,186,151,1,2,2,True,False,False
40,0.5128205128205128,0.8,65,0.6352941176470588,0.30000000000000004,0,40,41,65,62,False,True,False
40,0.47115384615384615,0.6000000000000001,65,0.5725490196078431,0.5,213,164,41,65,62,False,True,False
26,0.38141025641025644,1.0,100,0.4666666666666667,0.4,141,130,64,101,96,False,True,False
2,0.5256410256410257,0.7000000000000001,86,0.6431372549019607,0.6000000000000001,128,82,55,86,82,False,True,False
86,0.4935897435897436,0.5,2,0.5294117647058822,0.8,184,35,55,2,82,False,True,False
2,0.33974358974358976,1.0,70,0.4117647058823529,0.30000000000000004,42,54,61,70,67,False,True,False
26,0.5128205128205128,0.5,64,0.6235294117647059,0.6000000000000001,101,105,15,64,61,False,True,False
26,0.3493589743589744,1.0,86,0.4313725490196078,0.30000000000000004,196,124,15,26,82,True,False,False
80,0.27884615384615385,0.4,65,0.3372549019607843,0.30000000000000004,86,105,15,65,62,False,True,False
2,0.5352564102564102,0.7000000000000001,100,0.6588235294117648,0.30000000000000004,86,105,15,2,96,True,False,False
40,0.5705128205128205,0.5,6,0.5921568627450979,0.8,196,124,15,41,40,True,False,False
86,0.6698717948717948,0.5,80,0.30196078431372547,1.0,86,105,15,80,82,False,True,False
26,0.5865384615384616,0.5,70,0.5215686274509803,0.7000000000000001,86,105,15,70,26,False,True,False
6,0.4326923076923077,0.8,43,0.5254901960784313,0.4,196,124,15,43,42,False,True,False
2,0.5032051282051282,0.9,89,0.611764705882353,0.4,196,124,15,89,84,False,True,False
70,0.5544871794871795,0.5,64,0.34901960784313724,1.0,101,105,15,70,67,True,False,False
86,0.40384615384615385,0.7000000000000001,65,0.4823529411764706,0.5,101,105,15,65,82,False,True,False
89,0.608974358974359,0.5,100,0.6784313725490196,0.5,196,124,15,101,84,False,True,False
43,0.3525641025641026,0.8,41,0.42745098039215684,0.2,196,124,15,41,40,False,True,False
65,0.6282051282051282,0.5,43,0.43529411764705883,1.0,196,124,15,43,62,False,True,False
40,0.483974358974359,0.7000000000000001,100,0.5960784313725491,0.30000000000000004,101,105,15,41,96,True,False,False
86,0.5801282051282052,0.7000000000000001,100,0.6235294117647059,0.9,86,105,15,101,82,False,True,False
65,0.3108974358974359,1.0,70,0.3764705882352941,0.4,86,105,15,65,67,True,False,False
89,0.4551282051282051,0.9,43,0.5137254901960784,0.7000000000000001,101,105,15,89,84,True,False,False
26,0.483974358974359,0.7000000000000001,41,0.5725490196078431,0.5,101,105,15,41,26,False,True,False
70,0.5032051282051282,0.5,43,0.4549019607843137,0.9,86,105,15,70,67,True,False,False
26,0.5096153846153846,0.6000000000000001,100,0.30588235294117644,0.5,86,105,15,26,96,True,False,False
89,0.5,0.5,65,0.41568627450980394,1.0,196,124,15,89,84,True,False,False
86,0.41025641025641024,0.5,41,0.4470588235294118,0.8,196,124,15,86,82,True,False,False
70,0.47115384615384615,0.4,86,0.5411764705882354,0.5,196,124,15,70,67,True,False,False
89,0.5,0.5,100,0.3803921568627451,1.0,86,105,15,101,84,False,True,False
89,0.4358974358974359,0.6000000000000001,70,0.5294117647058822,0.2,101,105,15,89,67,True,False,False
43,0.4294871794871795,0.7000000000000001,80,0.37254901960784315,1.0,42,54,61,43,42,True,False,False
6,0.3717948717948718,0.9,100,0.45098039215686275,0.5,210,14,64,6,96,True,False,False
70,0.5448717948717948,0.5,89,0.4549019607843137,1.0,143,41,57,70,67,True,False,False
2,0.4583333333333333,0.4,26,0.0,0.2,132,109,15,26,99,False,True,False
